Date,DJA,IXIC,SPX,RUT
1/1/1988,750.8699951,374.6000061,258.8900146,142.1499939
4/1/1988,801.5800171,394.7000122,273.5,151.3000031
7/1/1988,795.4500122,387.7000122,271.9100037,149.0899963
10/1/1988,825.9400024,381.3999939,277.7200012,147.3699951
1/1/1989,873.5800171,406.7000122,294.8699951,157.8999939
4/1/1989,943.8599854,435.2999878,317.980011,167.4199982
7/1/1989,1075.459961,472.8999939,349.1499939,178.2100067
10/1/1989,1035.099976,454.7999878,353.3999939,168.3099976
1/1/1990,1012.099976,435.5,339.9400024,163.6300049
4/1/1990,1031.069946,462.2999878,358.019989,169.1199951
7/1/1990,858.1400146,344.5,306.0499878,126.6999969
10/1/1990,920.6099854,373.7999878,330.2200012,132.1999969
1/1/1991,1034.969971,482.2999878,375.2200012,171.0099945
4/1/1991,1030.420044,475.9200134,371.1600037,167.6100006
7/1/1991,1074.930054,526.8800049,387.8599854,180.1600037
10/1/1991,1156.819946,586.3400269,417.0899963,189.9400024
1/1/1992,1161.800049,603.7700195,403.6900024,203.6999969
4/1/1992,1165.369995,563.5999756,408.1400146,188.5800018
7/1/1992,1153.459961,583.2700195,417.7999878,192.9100037
10/1/1992,1204.550049,676.9500122,435.7099915,221.0099945
1/1/1993,1279.25,690.1300049,451.6700134,229.2100067
4/1/1993,1292.589966,703.9500122,450.5299988,233.3500061
7/1/1993,1324.540039,762.7800293,458.9299927,252.9499969
10/1/1993,1381.030029,776.7999878,466.4500122,258.5899963
1/1/1994,1297.77002,743.460022,445.769989,251.0599976
4/1/1994,1269.339966,705.960022,444.269989,240.2899933
7/1/1994,1285.780029,764.289978,462.7099915,256.1199951
10/1/1994,1274.410034,751.960022,459.269989,250.3600006
1/1/1995,1388.449951,817.210022,500.7099915,260.769989
4/1/1995,1506.150024,933.4500122,544.75,283.6300049
7/1/1995,1616.76001,1043.540039,584.4099731,310.3800049
10/1/1995,1693.209961,1052.130005,615.9299927,315.9700012
1/1/1996,1814.140015,1101.400024,645.5,330.769989
4/1/1996,1843.550049,1185.02002,670.6300049,346.6099854
7/1/1996,1858.130005,1226.920044,687.3300171,346.3900146
10/1/1996,2025.829956,1291.030029,740.7399902,362.6099854
1/1/1997,2061.439941,1221.699951,757.1199951,342.5599976
4/1/1997,2360.26001,1442.069946,885.1400146,396.3699951
7/1/1997,2539.530029,1685.689941,947.2800293,453.8200073
10/1/1997,2607.370117,1570.349976,970.4299927,437.019989
1/1/1998,2863.840088,1835.680054,1101.75,480.6799927
4/1/1998,2877.810059,1894.73999,1133.839966,457.3900146
7/1/1998,2510.699951,1693.839966,1017.01001,363.5899963
10/1/1998,2870.830078,2192.689941,1229.22998,421.9599915
1/1/1999,2981.060059,2461.399902,1286.369995,397.6300049
4/1/1999,3262.98999,2686.120117,1372.709961,457.6799927
7/1/1999,3013.01001,2746.159912,1282.709961,427.2999878
10/1/1999,3214.379883,4069.310059,1469.25,504.75
1/1/2000,3081.149902,4572.830078,1498.579956,539.0900269
4/1/2000,2990.840088,3966.110107,1454.599976,517.2299805
7/1/2000,3173.959961,3672.820068,1436.51001,521.3699951
10/1/2000,3317.610107,2470.52002,1320.280029,483.5299988
1/1/2001,3059.969971,1840.26001,1160.329956,450.5299988
4/1/2001,3142.75,2160.540039,1224.380005,512.6400146
7/1/2001,2599.47998,1498.800049,1040.939941,404.8699951
10/1/2001,2892.22998,1950.400024,1148.079956,488.5
1/1/2002,3045.919922,1845.349976,1147.390015,506.4599915
4/1/2002,2743.76001,1463.209961,989.8200073,462.6400146
7/1/2002,2212.139893,1172.060059,815.2800293,362.269989
10/1/2002,2374.959961,1335.51001,879.8200073,383.0899963
1/1/2003,2257.899902,1341.170044,848.1799927,364.5400085
4/1/2003,2576.22998,1622.800049,974.5,448.3699951
7/1/2003,2691.350098,1786.939941,995.9699707,487.6799927
10/1/2003,3000.75,2003.369995,1111.920044,556.9099731
1/1/2004,2984.540039,1994.219971,1126.209961,590.3099976
4/1/2004,3072.25,2047.790039,1140.839966,591.5200195
7/1/2004,3058.469971,1896.839966,1114.579956,572.9400024
10/1/2004,3395.820068,2175.439941,1211.920044,651.5700073
1/1/2005,3373.189941,1999.22998,1180.589966,615.0700073
4/1/2005,3330.929932,2056.959961,1191.329956,639.6599731
7/1/2005,3538.870117,2151.689941,1228.810059,667.7999878
10/1/2005,3638.060059,2205.320068,1248.290039,673.2199707
1/1/2006,3776.51001,2339.790039,1294.869995,765.1400146
4/1/2006,3931.590088,2172.090088,1270.199951,724.6699829
7/1/2006,3911.219971,2258.429932,1335.849976,725.5900269
10/1/2006,4120.959961,2415.290039,1418.300049,787.6599731
1/1/2007,4252.529785,2421.639893,1420.859985,800.710022
4/1/2007,4497.859863,2603.22998,1503.349976,833.7000122
7/1/2007,4510.859863,2701.5,1526.75,805.4500122
10/1/2007,4394.049805,2652.280029,1468.359985,766.0300293
1/1/2008,4196.939941,2279.100098,1322.699951,687.9699707
4/1/2008,4161.959961,2292.97998,1280,689.6599731
7/1/2008,3829.040039,2091.879883,1166.359985,679.5800171
10/1/2008,3086.070068,1577.030029,903.25,499.4500122
1/1/2009,2587.23999,1528.589966,797.8699951,422.75
4/1/2009,2925.47998,1835.040039,919.3200073,508.2799988
7/1/2009,3327.870117,2122.419922,1057.079956,604.2800293
10/1/2009,3566.679932,2269.149902,1115.099976,625.3900146
1/1/2010,3679.02002,2397.959961,1169.430054,678.6400146
4/1/2010,3357.540039,2109.23999,1030.709961,609.4899902
7/1/2010,3735.800049,2368.620117,1141.199951,676.1400146
10/1/2010,4033.189941,2652.870117,1257.640015,783.6500244
1/1/2011,4228.419922,2781.070068,1325.829956,843.5499878
4/1/2011,4309.560059,2773.52002,1320.640015,827.4299927
7/1/2011,3742.600098,2415.399902,1131.420044,644.1599731
10/1/2011,4232.169922,2605.149902,1257.599976,740.9199829
1/1/2012,4460.529785,3091.570068,1408.469971,830.2999878
4/1/2012,4427.419922,2935.050049,1362.160034,798.4899902
7/1/2012,4441.700195,3116.22998,1440.670044,837.4500122
10/1/2012,4442.069824,3019.51001,1426.189941,849.3499756
1/1/2013,5036.939941,3267.52002,1569.189941,951.539978
4/1/2013,5034.660156,3403.25,1606.280029,977.4799805
7/1/2013,5166.609863,3771.47998,1681.550049,1073.790039
10/1/2013,5641.549805,4176.589844,1848.359985,1163.640015
1/1/2014,5725.850098,4198.990234,1872.339966,1173.040039
4/1/2014,6009.939941,4408.180176,1960.22998,1192.959961
7/1/2014,6063.439941,4493.390137,1972.290039,1101.680054
10/1/2014,6473.600098,4736.049805,2058.899902,1204.699951
1/1/2015,6328.120117,4900.879883,2067.889893,1252.77002
4/1/2015,6096.220215,4986.870117,2063.110107,1253.949951
7/1/2015,5812.930176,4620.160156,1920.030029,1100.689941
10/1/2015,5978.339844,5007.410156,2043.939941,1135.890015
1/1/2016,6275.600098,4869.850098,2059.73999,1114.030029
4/1/2016,6303.439941,4842.669922,2098.860107,1151.920044
7/1/2016,6424.870117,5312,2168.27002,1251.650024
10/1/2016,6902.450195,5383.120117,2238.830078,1357.130005
1/1/2017,7155.819824,5911.740234,2362.719971,1385.920044
4/1/2017,7402.299805,6140.419922,2423.409912,1415.359985
7/1/2017,7711.120117,6495.959961,2519.360107,1490.859985
10/1/2017,8310.349609,6903.390137,2673.610107,1535.51001
1/1/2018,8092.529785,7063.450195,2640.870117,1529.430054
4/1/2018,8146.049805,7510.299805,2718.370117,1643.069946
7/1/2018,8810.240234,8046.350098,2913.97998,1696.569946
10/1/2018,7710.439941,6635.279785,2506.850098,1348.560059
1/1/2019,8598.459961,7729.319824,2834.399902,1539.73999
4/1/2019,8796.830078,8006.240234,2941.76001,1566.569946
7/1/2019,8961.150391,7999.339844,2976.73999,1523.369995
10/1/2019,9386.480469,8972.599609,3230.780029,1668.469971
1/1/2020,7221.209961,7700.100098,2584.590088,1153.099976
4/1/2020,8292.070313,10058.76953,3100.290039,1441.369995
7/1/2020,9190.950195,11167.50977,3363,1507.689941
10/1/2020,10108.70996,12888.28027,3756.070068,1974.859985
1/1/2021,11051.16992,13246.87012,3972.889893,2220.52002
4/1/2021,11395.4502,14503.9502,4297.5,2310.550049
7/1/2021,11080.33984,14448.58008,4307.540039,2204.370117
10/1/2021,12266.84961,15644.96973,4766.180176,2245.310059
1/1/2022,12000.32031,14220.51953,4530.410156,2070.129883
4/1/2022,10449.61035,11028.74023,3785.379883,1707.98999
7/1/2022,9679.490234,10575.62012,3585.620117,1664.719971
10/1/2022,10962.83008,10466.48047,3839.5,1761.25
1/1/2023,11163.80957,12221.91016,4109.310059,1802.47998
4/1/2023,11563.04004,13787.91992,4450.379883,1888.72998
7/1/2023,11120.15039,13219.32031,4288.049805,1785.099976
10/1/2023,12249.96973,15011.34961,4769.830078,2027.069946
1/1/2024,12735.74023,16379.45996,5254.350098,2124.550049
4/1/2024,12412.95996,16735.01953,5277.509766,2070.129883