Date,US_Proj-hi,US_Proj-lo,US_Proj-0
2022,333287557,333287557,333287557
2023,335674990,334393850,333368934
2024,338020369,335456707,333405763
2025,340326253,336476277,333396257
2026,342598169,337456326,333342777
2027,344834800,338394345,333241862
2028,347032737,339286208,333088815
2029,349190042,340129713,332881220
2030,351302667,340920945,332615264
2031,353365490,341655257,332286678
2032,355372284,342327146,331890551
2033,357340835,342942666,331423553
2034,359268566,343500602,330885567
2035,361153094,344000005,330276781
2036,362992371,344440276,329597757
2037,364784369,344820802,328849014
2038,366527560,345141393,328031438
2039,368221223,345402585,327146575
2040,369865148,345605315,326196272
2041,371458985,345750219,325181959
2042,373004407,345839747,324106707
2043,374503745,345876794,322973863
2044,375960694,345865450,321787825
2045,377379686,345810399,320553481
2046,378765436,345716486,319275777
2047,380120970,345586758,317957768
2048,381450959,345425812,316604002
2049,382760225,345238348,315219076
2050,384053580,345028997,313807463
2051,385335536,344802030,312373242
2052,386610384,344561432,310920157
2053,387882349,344311087,309451808
2054,389155290,344054476,307971379
2055,390432546,343794586,306481578
2056,391716940,343533944,304984693
2057,393010487,343274364,303482378
2058,394314440,343017018,301975737
2059,395629112,342762305,300465238
2060,396953837,342509812,298950678
2061,398287852,342259210,297432077
2062,399628927,342008842,295908235
2063,400974271,341756618,294377633
2064,402320570,341500066,292838467
2065,403664286,341236582,291288887
2066,405001842,340963579,289727096
2067,406329324,340678160,288151027
2068,407642570,340377211,286558391
2069,408937200,340057377,284946665
2070,410208842,339715283,283313260
2071,411453832,339348195,281656197
2072,412669949,338954777,279974842
2073,413855716,338534373,278269189
2074,415009815,338086400,276539237
2075,416130797,337610066,274784724
2076,417217679,337104979,273005732
2077,418269501,336570698,271202229
2078,419285902,336007293,269374641
2079,420266994,335415250,267523733
2080,421213182,334795261,265650430
2081,422125646,334148731,263756306
2082,423006083,333477480,261843286
2083,423856582,332783662,259913569
2084,424679396,332069527,257969410
2085,425476313,331336799,256012487
2086,426249143,330587159,254044382
2087,426999581,329822142,252066502
2088,427729071,329042999,250079947
2089,428438920,328250837,248085658
2090,429130245,327446553,246084364
2091,429804493,326631398,244077167
2092,430463420,325806950,242065499
2093,431108916,324974959,240051002
2094,431742601,324136936,238035097
2095,432365798,323294142,236019008
2096,432979495,322447563,234003714
2097,433584277,321597831,231989880
2098,434180387,320745279,229977910
2099,434767856,319890085,227968092
2100,435346449,319032207,225960550