series id,id,title,frequency
DEBTTLCAA188A,DEBTTLCAA188A,"Central government debt, total (% of GDP) for Canada",Annual
SIPOVGINIIDN,SIPOVGINIIDN,GINI Index for Indonesia,Annual
SIPOVGINIMEX,SIPOVGINIMEX,GINI Index for Mexico,Annual
BAMLHE00EHYIEY,BAMLHE00EHYIEY,ICE BofA Euro High Yield Index Effective Yield,"Daily, Close"
MKTGDPSGA646NWDB,MKTGDPSGA646NWDB,Gross Domestic Product for Singapore,Annual
FPCPITOTLZGAUS,FPCPITOTLZGAUS,"Inflation, consumer prices for Australia",Annual
DEBTTLCNA188A,DEBTTLCNA188A,"Central government debt, total (% of GDP) for China",Annual
FPCPITOTLZGEUU,FPCPITOTLZGEUU,"Inflation, consumer prices for the European Union",Annual
SIPOVGINIJPN,SIPOVGINIJPN,GINI Index for Japan,Annual
SIPOVGINITHA,SIPOVGINITHA,GINI Index for Thailand,Annual
NYGDPPCAPKDRUS,NYGDPPCAPKDRUS,Constant GDP per capita for the Russian Federation,Annual
NYGDPPCAPKDAUS,NYGDPPCAPKDAUS,Constant GDP per capita for Australia,Annual
MKTGDPMXA646NWDB,MKTGDPMXA646NWDB,Gross Domestic Product for Mexico,Annual
FPCPITOTLZGKOR,FPCPITOTLZGKOR,"Inflation, consumer prices for the Republic of Korea",Annual
POPTOTJP52647NWDB,POPTOTJP52647NWDB,"Population, Total for Japan",5 Year
SMPOPREFGPSE,SMPOPREFGPSE,Refugee Population by Country or Territory of Asylum for the Occupied Palestinian Territory,Annual
BAMLHE00EHYIOAS,BAMLHE00EHYIOAS,ICE BofA Euro High Yield Index Option-Adjusted Spread,"Daily, Close"
FPCPITOTLZGRUS,FPCPITOTLZGRUS,"Inflation, consumer prices for the Russian Federation",Annual
POPTOTJPA647NWDB,POPTOTJPA647NWDB,"Population, Total for Japan",Annual
MKTGDPMYA646NWDB,MKTGDPMYA646NWDB,Gross Domestic Product for Malaysia,Annual
FPCPITOTLZGESP,FPCPITOTLZGESP,"Inflation, consumer prices for Spain",Annual
MKTGDPVNA646NWDB,MKTGDPVNA646NWDB,Gross Domestic Product for Viet Nam,Annual
DEBTTLINA188A,DEBTTLINA188A,"Central government debt, total (% of GDP) for India",Annual
SIPOVGINIFRA,SIPOVGINIFRA,GINI Index for France,Annual
ECBMLFR,ECBMLFR,ECB Marginal Lending Facility Rate for Euro Area,"Daily, 7-Day"
POPTOTCN52647NWDB,POPTOTCN52647NWDB,"Population, Total for China",5 Year
MKTGDPARA646NWDB,MKTGDPARA646NWDB,Gross Domestic Product for Argentina,Annual
PCAGDPCAA646NWDB,PCAGDPCAA646NWDB,Gross Domestic Product Per Capita for Canada,Annual
DEBTTLGRA188A,DEBTTLGRA188A,"Central government debt, total (% of GDP) for Greece",Annual
SIPOVGINISWE,SIPOVGINISWE,GINI Index for Sweden,Annual
NYGDPPCAPKDESP,NYGDPPCAPKDESP,Constant GDP per capita for Spain,Annual
POPTOTCNA647NWDB,POPTOTCNA647NWDB,"Population, Total for China",Annual
MKTGDPRUA646NWDB,MKTGDPRUA646NWDB,Gross Domestic Product for Russian Federation,Annual
NYGDPPCAPKDBRA,NYGDPPCAPKDBRA,Constant GDP per capita for Brazil,Annual
MKTGDPESA646NWDB,MKTGDPESA646NWDB,Gross Domestic Product for Spain,Annual
PCAGDPJPA646NWDB,PCAGDPJPA646NWDB,Gross Domestic Product Per Capita for Japan,Annual
MKTGDPTHA646NWDB,MKTGDPTHA646NWDB,Gross Domestic Product for Thailand,Annual
FPCPITOTLZGZWE,FPCPITOTLZGZWE,"Inflation, consumer prices for Zimbabwe",Annual
SIPOVGININGA,SIPOVGININGA,GINI Index for Nigeria,Annual
SIPOVGINIARG,SIPOVGINIARG,GINI Index for Argentina,Annual
SIPOVGINIMYS,SIPOVGINIMYS,GINI Index for Malaysia,Annual
SIPOVGINIIRN,SIPOVGINIIRN,GINI Index for the Islamic Republic of Iran,Annual
SPDYNIMRTINUSA,SPDYNIMRTINUSA,Infant Mortality Rate for the United States,Annual
EONIARATE,EONIARATE,EONIA: Euro Interbank Offered Rate (DISCONTINUED),Daily
MKTGDPSEA646NWDB,MKTGDPSEA646NWDB,Gross Domestic Product for Sweden,Annual
FPCPITOTLZGTHA,FPCPITOTLZGTHA,"Inflation, consumer prices for Thailand",Annual
FPCPITOTLZGPHL,FPCPITOTLZGPHL,"Inflation, consumer prices for the Philippines",Annual
MKTGDPIRA646NWDB,MKTGDPIRA646NWDB,Gross Domestic Product for Islamic Republic of Iran,Annual
FPCPITOTLZGGRC,FPCPITOTLZGGRC,"Inflation, consumer prices for Greece",Annual
IDSBMRIAOW1,IDSBMRIAOW1,"Amount Outstanding of International Debt Securities for Issuers in Financial Institutions Sector (Banks), All Maturities, Residence of Issuer in All countries (DISCONTINUED)",Quarterly
SIPOVGINITUR,SIPOVGINITUR,GINI Index for Turkey,Annual
SIPOVGININOR,SIPOVGININOR,GINI Index for Norway,Annual
NYGDPPCAPKDTUR,NYGDPPCAPKDTUR,Constant GDP per capita for Turkey,Annual
NYGDPPCAPKDMEX,NYGDPPCAPKDMEX,Constant GDP per capita for Mexico,Annual
ITCELSETSP2USA,ITCELSETSP2USA,Mobile Cellular Subscriptions in the United States,Annual
SLEMPTOTLSPZSCHN,SLEMPTOTLSPZSCHN,Employment to Population Ratio for China,Annual
MKTGDPPKA646NWDB,MKTGDPPKA646NWDB,Gross Domestic Product for Pakistan,Annual
SPPOPGROWCHN,SPPOPGROWCHN,Population Growth for China,Annual
DEBTTLGBA188A,DEBTTLGBA188A,"Central government debt, total (% of GDP) for the United Kingdom",Annual
SPDYNIMRTINLDC,SPDYNIMRTINLDC,Infant Mortality Rate for Least Developed Countries,Annual
DDEM01USA156NWDB,DDEM01USA156NWDB,Stock Market Turnover Ratio (Value Traded/Capitalization) for United States,Annual
POPTOTCA52647NWDB,POPTOTCA52647NWDB,"Population, Total for Canada",5 Year
NYGDPPCAPKDIRL,NYGDPPCAPKDIRL,Constant GDP per capita for Ireland,Annual
MKTGDPCHA646NWDB,MKTGDPCHA646NWDB,Gross Domestic Product for Switzerland,Annual
FPCPITOTLZGIDN,FPCPITOTLZGIDN,"Inflation, consumer prices for Indonesia",Annual
FPCPITOTLZGSGP,FPCPITOTLZGSGP,"Inflation, consumer prices for Singapore",Annual
MKTGDPAEA646NWDB,MKTGDPAEA646NWDB,Gross Domestic Product for United Arab Emirates,Annual
MKTGDPSAA646NWDB,MKTGDPSAA646NWDB,Gross Domestic Product for Saudi Arabia,Annual
SPDYNTFRTINCZE,SPDYNTFRTINCZE,"Fertility Rate, Total for the Czech Republic",Annual
DEBTTLUSA188A,DEBTTLUSA188A,"Central government debt, total (% of GDP) for the United States",Annual
ITNETUSERP2IND,ITNETUSERP2IND,Internet users for India,Annual
DDSI02USA156NWDB,DDSI02USA156NWDB,Bank Non-Performing Loans to Gross Loans for United States,Annual
NYGDPPCAPKDNZL,NYGDPPCAPKDNZL,Constant GDP per capita for New Zealand,Annual
SPPOPTOTLARB,SPPOPTOTLARB,"Population, Total for the Arab World",Annual
POPTOTCAA647NWDB,POPTOTCAA647NWDB,"Population, Total for Canada",Annual
FPCPITOTLZGVNM,FPCPITOTLZGVNM,"Inflation, consumer prices for Viet Nam",Annual
MKTGDPEGA646NWDB,MKTGDPEGA646NWDB,Gross Domestic Product for Egypt,Annual
FPCPITOTLZGZAF,FPCPITOTLZGZAF,"Inflation, consumer prices for South Africa",Annual
PCAGDPDEA646NWDB,PCAGDPDEA646NWDB,Gross Domestic Product Per Capita for Germany,Annual
FPCPITOTLZGSWE,FPCPITOTLZGSWE,"Inflation, consumer prices for Sweden",Annual
FPCPITOTLZGVEN,FPCPITOTLZGVEN,"Inflation, consumer prices for the Bolivarian Republic of Venezuela",Annual
RBXMBIS,RBXMBIS,Real Broad Effective Exchange Rate for Euro Area,Monthly
SPDYNTFRTINCHN,SPDYNTFRTINCHN,"Fertility Rate, Total for China",Annual
DEBTTLITA188A,DEBTTLITA188A,"Central government debt, total (% of GDP) for Italy",Annual
GCDODTOTLGDZSEUU,GCDODTOTLGDZSEUU,"Central government debt, total (% of GDP) for the European Union",Annual
DDDI06USA156NWDB,DDDI06USA156NWDB,Central Bank Assets to GDP for United States,Annual
SIPOVGININLD,SIPOVGININLD,GINI Index for the Netherlands,Annual
SIPOVGINIITA,SIPOVGINIITA,GINI Index for Italy,Annual
FPCPITOTLZGMYS,FPCPITOTLZGMYS,"Inflation, consumer prices for Malaysia",Annual
FPCPITOTLZGCHE,FPCPITOTLZGCHE,"Inflation, consumer prices for Switzerland",Annual
FPCPITOTLZGNOR,FPCPITOTLZGNOR,"Inflation, consumer prices for Norway",Annual
MKTGDPTRA646NWDB,MKTGDPTRA646NWDB,Gross Domestic Product for Turkey,Annual
SIPOVGINIVNM,SIPOVGINIVNM,GINI Index for Viet Nam,Annual
SIPOVGINIZAF,SIPOVGINIZAF,GINI Index for South Africa,Annual
BOGZ1FA263169705A,BOGZ1FA263169705A,"Rest of the World; Customers' Liability on Acceptances Outstanding to Commercial Banking; Liability, Transactions",Annual
BOGZ1FA263169705Q,BOGZ1FA263169705Q,"Rest of the World; Customers' Liability on Acceptances Outstanding to Commercial Banking; Liability, Transactions",Quarterly
BOGZ1FU263169705Q,BOGZ1FU263169705Q,"Rest of the World; Customers' Liability on Acceptances Outstanding to Commercial Banking; Liability, Transactions",Quarterly
BOGZ1FU263169705A,BOGZ1FU263169705A,"Rest of the World; Customers' Liability on Acceptances Outstanding to Commercial Banking; Liability, Transactions",Annual
MKTGDPGRA646NWDB,MKTGDPGRA646NWDB,Gross Domestic Product for Greece,Annual
ICBUSEASEXQUSA,ICBUSEASEXQUSA,Ease of doing business index for the United States,Annual
MKTGDPPHA646NWDB,MKTGDPPHA646NWDB,Gross Domestic Product for Philippines,Annual
FPCPITOTLZGETH,FPCPITOTLZGETH,"Inflation, consumer prices for Ethiopia",Annual
SPDYNCBRTINCHN,SPDYNCBRTINCHN,Crude Birth Rate for China,Annual
MKTGNICNA646NWDB,MKTGNICNA646NWDB,Gross National Income for China,Annual
DDSI051WA156NWDB,DDSI051WA156NWDB,Bank Regulatory Capital to Risk-Weighted Assets for World (DISCONTINUED),Annual
DEBTTLMYA188A,DEBTTLMYA188A,"Central government debt, total (% of GDP) for Malaysia",Annual
DEBTTLDEA188A,DEBTTLDEA188A,"Central government debt, total (% of GDP) for Germany",Annual
SIPOVGINIPAK,SIPOVGINIPAK,GINI Index for Pakistan,Annual
SIPOVGINIESP,SIPOVGINIESP,GINI Index for Spain,Annual
SIPOVGINICHE,SIPOVGINICHE,GINI Index for Switzerland,Annual
BOGZ1FL263169705Q,BOGZ1FL263169705Q,"Rest of the World; Customers' Liability on Acceptances Outstanding to Commercial Banking; Liability, Level",Quarterly
BOGZ1FR263169705Q,BOGZ1FR263169705Q,"Rest of the World; Customers' Liability on Acceptances Outstanding to Commercial Banking; Liability, Revaluation",Quarterly
BOGZ1FL263169705A,BOGZ1FL263169705A,"Rest of the World; Customers' Liability on Acceptances Outstanding to Commercial Banking; Liability, Level",Annual
BOGZ1FR263169705A,BOGZ1FR263169705A,"Rest of the World; Customers' Liability on Acceptances Outstanding to Commercial Banking; Liability, Revaluation",Annual
POPTOTDE52647NWDB,POPTOTDE52647NWDB,"Population, Total for Germany",5 Year
NYGDPPCAPKDGRC,NYGDPPCAPKDGRC,Constant GDP per capita for Greece,Annual
MKTGDPNOA646NWDB,MKTGDPNOA646NWDB,Gross Domestic Product for Norway,Annual
DDOE01ARA086NWDB,DDOE01ARA086NWDB,Consumer Price Index for Argentina,"Annual, End of Year"
FPCPITOTLZGCOL,FPCPITOTLZGCOL,"Inflation, consumer prices for Colombia",Annual
SLUEM1524ZSKEN,SLUEM1524ZSKEN,Youth Unemployment Rate for Kenya,Annual
SPDYNTFRTINPSE,SPDYNTFRTINPSE,"Fertility Rate, Total for the Occupied Palestinian Territory",Annual
DEBTTLIDA188A,DEBTTLIDA188A,"Central government debt, total (% of GDP) for Indonesia",Annual
QXMN628BIS,QXMN628BIS,Residential Property Prices for Euro area,Quarterly
SIPOVGINIDNK,SIPOVGINIDNK,GINI Index for Denmark,Annual
SIPOVGINIETH,SIPOVGINIETH,GINI Index for Ethiopia,Annual
SIPOVGINIIRL,SIPOVGINIIRL,GINI Index for Ireland,Annual
SIPOVGINICHL,SIPOVGINICHL,GINI Index for Chile,Annual
SIPOVGINIPOL,SIPOVGINIPOL,GINI Index for Poland,Annual
SIPOVGINICOL,SIPOVGINICOL,GINI Index for Colombia,Annual
POPTOTIN52647NWDB,POPTOTIN52647NWDB,"Population, Total for India",5 Year
SPDYNIMRTINPHL,SPDYNIMRTINPHL,Infant Mortality Rate for the Philippines,Annual
MKTGDPNLA646NWDB,MKTGDPNLA646NWDB,Gross Domestic Product for Netherlands,Annual
MKTGDPPLA646NWDB,MKTGDPPLA646NWDB,Gross Domestic Product for Poland,Annual
DDOE02ARA086NWDB,DDOE02ARA086NWDB,Consumer Price Index for Argentina,Annual
NYGDPPCAPKDUKR,NYGDPPCAPKDUKR,Constant GDP per capita for Ukraine,Annual
NYGDPPCAPKDPHL,NYGDPPCAPKDPHL,Constant GDP per capita for the Philippines,Annual
SPDYNCBRTINPHL,SPDYNCBRTINPHL,Crude Birth Rate for the Philippines,Annual
FPCPITOTLZGQAT,FPCPITOTLZGQAT,"Inflation, consumer prices for Qatar",Annual
POPTOTDEA647NWDB,POPTOTDEA647NWDB,"Population, Total for Germany",Annual
PCAGDPINA646NWDB,PCAGDPINA646NWDB,Gross Domestic Product Per Capita for India,Annual
SPDYNTFRTINKOR,SPDYNTFRTINKOR,"Fertility Rate, Total for the Republic of Korea",Annual
DEBTTLBRA188A,DEBTTLBRA188A,"Central government debt, total (% of GDP) for Brazil",Annual
IDSBMRINIW1,IDSBMRINIW1,"Net Issues of International Debt Securities for Issuers in Financial Institutions Sector (Banks), All Maturities, Residence of Issuer in All countries (DISCONTINUED)",Quarterly
QXMN368BIS,QXMN368BIS,Residential Property Prices for Euro area,Quarterly
NYGDPMKTPCDEUU,NYGDPMKTPCDEUU,Gross Domestic Product for the European Union,Annual
GCDODTOTLGDZSOED,GCDODTOTLGDZSOED,"Central government debt, total (% of GDP) for OECD Members",Annual
ITNETUSERP2PHL,ITNETUSERP2PHL,Internet users for the Philippines,Annual
SIPOVGINIECU,SIPOVGINIECU,GINI Index for Ecuador,Annual
SIPOVGINIVEN,SIPOVGINIVEN,GINI Index for the Bolivarian Republic of Venezuela,Annual
SIPOVGINILKA,SIPOVGINILKA,GINI Index for Sri Lanka,Annual
SIPOVGINICOD,SIPOVGINICOD,GINI Index for the Democratic Republic of the Congo,Annual
NYGDPPCAPKDPOL,NYGDPPCAPKDPOL,Constant GDP per capita for Poland,Annual
NYGDPPCAPKDZAF,NYGDPPCAPKDZAF,Constant GDP per capita for South Africa,Annual
NYGDPPCAPKDCHL,NYGDPPCAPKDCHL,Constant GDP per capita for Chile,Annual
FPCPITOTLZGNZL,FPCPITOTLZGNZL,"Inflation, consumer prices for New Zealand",Annual
POPTOTINA647NWDB,POPTOTINA647NWDB,"Population, Total for India",Annual
MKTGDPHKA646NWDB,MKTGDPHKA646NWDB,"Gross Domestic Product for Hong Kong SAR, China",Annual
MKTGDPUAA646NWDB,MKTGDPUAA646NWDB,Gross Domestic Product for Ukraine,Annual
PCAGDPGBA646NWDB,PCAGDPGBA646NWDB,Gross Domestic Product Per Capita for United Kingdom,Annual
FPCPITOTLZGPOL,FPCPITOTLZGPOL,"Inflation, consumer prices for Poland",Annual
PCAGDPARA646NWDB,PCAGDPARA646NWDB,Gross Domestic Product Per Capita for Argentina,Annual
SPDYNTFRTININD,SPDYNTFRTININD,"Fertility Rate, Total for India",Annual
ITNETUSERP2WLD,ITNETUSERP2WLD,Internet users for the World,Annual
SPDYNCBRTINLDC,SPDYNCBRTINLDC,Crude Birth Rate for Least Developed Countries,Annual
GCDODTOTLGDZSEMU,GCDODTOTLGDZSEMU,"Central government debt, total (% of GDP) for the Euro Area",Annual
ITNETUSERP2BGD,ITNETUSERP2BGD,Internet users for Bangladesh,Annual
DDDM03USA156NWDB,DDDM03USA156NWDB,Outstanding Domestic Private Debt Securities to GDP for United States,Annual
SIPOVGINIISR,SIPOVGINIISR,GINI Index for Israel,Annual
SIPOVGINIAUS,SIPOVGINIAUS,GINI Index for Australia,Annual
SIPOVGINIBGD,SIPOVGINIBGD,GINI Index for Bangladesh,Annual
SIPOVGINIGRC,SIPOVGINIGRC,GINI Index for Greece,Annual
POPTOT1W52647NWDB,POPTOT1W52647NWDB,"Population, Total for World",5 Year
DDEI01USA156NWDB,DDEI01USA156NWDB,Bank's Net Interest Margin for United States,Annual
NYGDPPCAPKDMYS,NYGDPPCAPKDMYS,Constant GDP per capita for Malaysia,Annual
NYGDPPCAPKDSWE,NYGDPPCAPKDSWE,Constant GDP per capita for Sweden,Annual
NYGDPPCAPKDIRN,NYGDPPCAPKDIRN,Constant GDP per capita for the Islamic Republic of Iran,Annual
NYGDPPCAPKDVEN,NYGDPPCAPKDVEN,Constant GDP per capita for the Bolivarian Republic of Venezuela,Annual
NYGDPPCAPKDIDN,NYGDPPCAPKDIDN,Constant GDP per capita for Indonesia,Annual
ICBUSEASEXQSAU,ICBUSEASEXQSAU,Ease of doing business index for Saudi Arabia,Annual
ICBUSEASEXQDZA,ICBUSEASEXQDZA,Ease of doing business index for Algeria,Annual
FPCPITOTLZGCHL,FPCPITOTLZGCHL,"Inflation, consumer prices for Chile",Annual
SPPOPGROWPHL,SPPOPGROWPHL,Population Growth for the Philippines,Annual
SPPOPDPNDOLJPN,SPPOPDPNDOLJPN,Age Dependency Ratio: Older Dependents to Working-Age Population for Japan,Annual
MKTGDPMAA646NWDB,MKTGDPMAA646NWDB,Gross Domestic Product for Morocco,Annual
FPCPITOTLZGROU,FPCPITOTLZGROU,"Inflation, consumer prices for Romania",Annual
SLUEM1524ZSETH,SLUEM1524ZSETH,Youth Unemployment Rate for Ethiopia,Annual
MKTGNIGBA646NWDB,MKTGNIGBA646NWDB,Gross National Income for United Kingdom,Annual
SPPOP1564TOZSCHN,SPPOP1564TOZSCHN,Population Ages 15 to 64 for China,Annual
FPCPITOTLZGNGA,FPCPITOTLZGNGA,"Inflation, consumer prices for Nigeria",Annual
MKTGDPBRA646NWDB,MKTGDPBRA646NWDB,Gross Domestic Product for Brazil,Annual
DEBTTLESA188A,DEBTTLESA188A,"Central government debt, total (% of GDP) for Spain",Annual
DEBTTLCHA188A,DEBTTLCHA188A,"Central government debt, total (% of GDP) for Switzerland",Annual
SIPOVGINIUKR,SIPOVGINIUKR,GINI Index for Ukraine,Annual
SIPOVGINIKHM,SIPOVGINIKHM,GINI Index for Cambodia,Annual
SIPOVGINIPER,SIPOVGINIPER,GINI Index for Peru,Annual
SIPOVGINIFIN,SIPOVGINIFIN,GINI Index for Finland,Annual
SIPOVGINIGHA,SIPOVGINIGHA,GINI Index for Ghana,Annual
SIPOVGINIKEN,SIPOVGINIKEN,GINI Index for Kenya,Annual
MKTGDPPTA646NWDB,MKTGDPPTA646NWDB,Gross Domestic Product for Portugal,Annual
MKTGDPBEA646NWDB,MKTGDPBEA646NWDB,Gross Domestic Product for Belgium,Annual
NYGDPPCAPCDPSE,NYGDPPCAPCDPSE,Gross Domestic Product Per Capita for the West Bank and Gaza,Annual
NYGDPPCAPKDPRT,NYGDPPCAPKDPRT,Constant GDP per capita for Portugal,Annual
NYGDPPCAPKDTHA,NYGDPPCAPKDTHA,Constant GDP per capita for Thailand,Annual
NYGDPPCAPKDISR,NYGDPPCAPKDISR,Constant GDP per capita for Israel,Annual
NYGDPPCAPKDSGP,NYGDPPCAPKDSGP,Constant GDP per capita for Singapore,Annual
SPPOPTOTLWLD,SPPOPTOTLWLD,"Population, Total for World",Annual
ICBUSEASEXQCOM,ICBUSEASEXQCOM,Ease of doing business index for Comoros,Annual
ICBUSEASEXQLKA,ICBUSEASEXQLKA,Ease of doing business index for Sri Lanka,Annual
ICBUSEASEXQPAK,ICBUSEASEXQPAK,Ease of doing business index for Pakistan,Annual
ICBUSEASEXQGBR,ICBUSEASEXQGBR,Ease of doing business index for the United Kingdom,Annual
ICBUSEASEXQEGY,ICBUSEASEXQEGY,Ease of doing business index for Egypt,Annual
SMPOPNETMJPN,SMPOPNETMJPN,Net migration for Japan,5 Year
SMPOPNETMMEX,SMPOPNETMMEX,Net migration for Mexico,5 Year
FPCPITOTLZGPAK,FPCPITOTLZGPAK,"Inflation, consumer prices for Pakistan",Annual
SPPOPGROWIND,SPPOPGROWIND,Population Growth for India,Annual
SPDYNCBRTINJPN,SPDYNCBRTINJPN,Crude Birth Rate for Japan,Annual
FPCPITOTLZGPER,FPCPITOTLZGPER,"Inflation, consumer prices for Peru",Annual
PCAGDPMXA646NWDB,PCAGDPMXA646NWDB,Gross Domestic Product Per Capita for Mexico,Annual
NYGDPMKTPCDPRI,NYGDPMKTPCDPRI,Gross Domestic Product for Puerto Rico,Annual
SPDYNTFRTINRUS,SPDYNTFRTINRUS,"Fertility Rate, Total for the Russian Federation",Annual
DEBTTLIEA188A,DEBTTLIEA188A,"Central government debt, total (% of GDP) for Ireland",Annual
DEBTTLNZA188A,DEBTTLNZA188A,"Central government debt, total (% of GDP) for New Zealand",Annual
POPTOTPR52647NWDB,POPTOTPR52647NWDB,"Population, Total for Puerto Rico",5 Year
ITNETUSERP2CAN,ITNETUSERP2CAN,Internet users for Canada,Annual
ITNETUSERP2ZAF,ITNETUSERP2ZAF,Internet users for South Africa,Annual
ITNETUSERP2MMR,ITNETUSERP2MMR,Internet users for Myanmar,Annual
ITNETUSERP2PAK,ITNETUSERP2PAK,Internet users for Pakistan,Annual
POPTOT1WA647NWDB,POPTOT1WA647NWDB,"Population, Total for World",Annual
SIPOVGINIROU,SIPOVGINIROU,GINI Index for Romania,Annual
SIPOVGINIHUN,SIPOVGINIHUN,GINI Index for Hungary,Annual
SIPOVGINIHTI,SIPOVGINIHTI,GINI Index for Haiti,Annual
SIPOVGINIEGY,SIPOVGINIEGY,GINI Index for Egypt,Annual
SIPOVGINIHND,SIPOVGINIHND,GINI Index for Honduras,Annual
SIPOVGINIBEL,SIPOVGINIBEL,GINI Index for Belgium,Annual
SIPOVGINIBGR,SIPOVGINIBGR,GINI Index for Bulgaria,Annual
MKTGDPIEA646NWDB,MKTGDPIEA646NWDB,Gross Domestic Product for Ireland,Annual
SEADTLITRZSPHL,SEADTLITRZSPHL,"Literacy Rate, Adult Total for the Philippines",Annual
NYGDPPCAPKDCOL,NYGDPPCAPKDCOL,Constant GDP per capita for Colombia,Annual
ECBASSETS,ECBASSETS,Central Bank Assets for Euro Area (11-19 Countries) (DISCONTINUED),"Monthly, End of Month"
ICBUSEASEXQNIC,ICBUSEASEXQNIC,Ease of doing business index for Nicaragua,Annual
ICBUSEASEXQNPL,ICBUSEASEXQNPL,Ease of doing business index for Nepal,Annual
ICBUSEASEXQJOR,ICBUSEASEXQJOR,Ease of doing business index for Jordan,Annual
ICBUSEASEXQMEX,ICBUSEASEXQMEX,Ease of doing business index for Mexico,Annual
ICBUSEASEXQLVA,ICBUSEASEXQLVA,Ease of doing business index for Latvia,Annual
ICBUSEASEXQSRB,ICBUSEASEXQSRB,Ease of doing business index for Serbia,Annual
ICBUSEASEXQKEN,ICBUSEASEXQKEN,Ease of doing business index for Kenya,Annual
ICBUSEASEXQAUS,ICBUSEASEXQAUS,Ease of doing business index for Australia,Annual
ICBUSEASEXQQAT,ICBUSEASEXQQAT,Ease of doing business index for Qatar,Annual
ICBUSEASEXQUZB,ICBUSEASEXQUZB,Ease of doing business index for Uzbekistan,Annual
SMPOPNETMCAN,SMPOPNETMCAN,Net migration for Canada,5 Year
SMPOPNETMCHN,SMPOPNETMCHN,Net migration for China,5 Year
ICBUSEASEXQWLD,ICBUSEASEXQWLD,Ease of doing business index for the World,Annual
ICBUSEASEXQPSE,ICBUSEASEXQPSE,Ease of doing business index for the Occupied Palestinian Territory,Annual
FPCPITOTLZGGHA,FPCPITOTLZGGHA,"Inflation, consumer prices for Ghana",Annual
SLUEM1524ZSPHL,SLUEM1524ZSPHL,Youth Unemployment Rate for the Philippines,Annual
NYGNPMKTPCDPRI,NYGNPMKTPCDPRI,Gross National Income for Puerto Rico,Annual
SLUEM1524ZSTZA,SLUEM1524ZSTZA,Youth Unemployment Rate for the United Republic of Tanzania,Annual
FPCPITOTLZGNLD,FPCPITOTLZGNLD,"Inflation, consumer prices for the Netherlands",Annual
FPCPITOTLZGECU,FPCPITOTLZGECU,"Inflation, consumer prices for Ecuador",Annual
PCAGDPSGA646NWDB,PCAGDPSGA646NWDB,Gross Domestic Product Per Capita for Singapore,Annual
MKTGNIEGA646NWDB,MKTGNIEGA646NWDB,Gross National Income for Egypt,Annual
SPADOTFRTIND,SPADOTFRTIND,Adolescent Fertility Rate for India,Annual
SEENRSECOFMZSUSA,SEENRSECOFMZSUSA,Ratio of Female to Male Secondary School Enrollment for the United States,Annual
FPCPITOTLZGARE,FPCPITOTLZGARE,"Inflation, consumer prices for the United Arab Emirates",Annual
